name,country,city,type,address,lat,lng,website,email,phone,source_url,notes
Gold Standard Kuwait Bullion Branch,KW,Kuwait City,bullion,"Shop No. 116, Central Gold Market, Al-Mubarakiya Market, Al-Qibla, Kuwait City",,,https://goldstandarddmcc.com/,Kuwait@goldstandarddmcc.com,+965 2247 3320,https://goldstandarddmcc.com/contact-us/,prospect — not AURIX partner
FK Jewellers Souq Al Watiya,KW,Kuwait City,jewelry,"Shop No. 121, Ground Floor, Souq Al Watiya, Maliya, next to Sheraton Hotel, Kuwait City",,,https://fkjewellers.com/,sales@fkjewellers.com,+965 2228 7181,https://fkjewellers.com/pages/fkj-kuwait-store,prospect — not AURIX partner
FK Jewellers Central Gold Market Mubarakiya,KW,Kuwait City,jewelry,"Shop 136, 1st Floor, Central Gold Market, Al-Mubarakiya, Kuwait City",,,https://fkjewellers.com/,sales@fkjewellers.com,+965 2228 7181,https://fkjewellers.com/pages/fkj-kuwait-store,prospect — not AURIX partner
Noor Alburhan Jewellery,KW,Kuwait City,bullion,"Shop 20, Basement, Central Gold Market, Al-Mubarakiya, Kuwait City",,,https://nbjew.com/,info@nbjew.com,+965 9002 5115,https://nbjew.com/,prospect — not AURIX partner
Alfa United Gold Jewellery Co.,KW,Kuwait City,bullion,"Central Gold Market / Mubarakiya, Kuwait City",,,https://www.alfagoldkwt.com/,,,https://www.alfagoldkwt.com/index.php/c_client_main/aboutus,prospect — not AURIX partner; bullion and wholesale 21K/22K jewelry
Central Gold Market Al-Mubarakiya,KW,Kuwait City,souk,"Central Gold Market, Al-Mubarakiya, Kuwait City",,,,,,"https://goldstandarddmcc.com/contact-us/",prospect — not AURIX partner; Kuwait City primary gold souk
Souq Al Watiya,KW,Kuwait City,souk,"Souq Al Watiya, Maliya, Kuwait City",,,,,,"https://fkjewellers.com/pages/fkj-kuwait-store",prospect — not AURIX partner; jewelry souk near Sheraton
Gold Standard Dubai Bullion Branch,AE,Dubai,bullion,"Shop No. M39, Mezzanine Floor, Gold Centre Building, Deira, Dubai",,,https://goldstandarddmcc.com/,dubai@goldstandarddmcc.com,+971 4 229 1949,https://goldstandarddmcc.com/contact-us/,prospect — not AURIX partner
Emirates Gold FZCO,AE,Dubai,bullion,"Al Sarayat Street, Jumeirah Lakes Towers FZCO, Sheikh Zayed Road, Dubai PO Box 24305",,,https://emiratesgold.ae/,info@emiratesgold.ae,+971 4 367 9030,https://emiratesgold.ae/contact-us/,prospect — not AURIX partner
GVS Trading LLC Dubai,AE,Dubai,bullion,"Gold & Diamond Park, Building 7, 1st Floor, Office 108, Dubai",,,https://www.gvs-trading.ae/,office@gvs-dubai.ae,+971 4 878 2904,https://www.gvs-trading.ae/contact.html,prospect — not AURIX partner
Leen Gold & Diamonds,AE,Dubai,bullion,"Office 222, Gold Landing Building, Gold Souk Deira, Dubai",,,https://leengold.com/,info@leengold.com,+971 4 335 1666,https://leengold.com/,prospect — not AURIX partner
Best Bullion Madinat Zayed,AE,Abu Dhabi,bullion,"Shop GC-30, Madinat Zayed Gold Center, Abu Dhabi",,,https://www.bestbullion.ae/,info@bestbullion.ae,+971 2 555 6034,https://www.bestbullion.ae/,prospect — not AURIX partner
Rukn Al Khyber Gold TR LLC,AE,Sharjah,bullion,"Sharjah Gold Souq, Block 4, 1st Floor, Shop No. 57, Sharjah",,,https://goldworlduae.com/,info@goldworlduae.com,+971 56 395 0005,https://goldworlduae.com/,prospect — not AURIX partner
Pure Gold Jewellers Gold Centre Deira,AE,Dubai,chain,"Shop G17 & 18, Gold Centre Building, Gold Souk, Deira, Dubai",,,https://pugold.com/,customercare@pugold.com,+971 52 795 2884,https://pugold.com/dubai-stores,prospect — not AURIX partner
Pure Gold Jewellers Souk Dubai Mall,AE,Dubai,chain,"Unit GS-053, Ground Floor, The Dubai Mall Gold Souk, Downtown Dubai",,,https://pugold.com/,customercare@pugold.com,+971 50 761 0886,https://pugold.com/dubai-stores,prospect — not AURIX partner
Pure Gold Jewellers Marina Mall,AE,Abu Dhabi,chain,"GA1, Ground Floor, Marina Mall, Ring Rd, Al Kasir, Al Marina, Abu Dhabi",,,https://pugold.com/,customercare@pugold.com,+971 2 681 4018,https://pugold.com/abu-dhabi-stores,prospect — not AURIX partner
Pure Gold Jewellers World Trade Center Mall,AE,Abu Dhabi,chain,"Unit G32, Ground Floor, World Trade Center Mall, Hamdan Bin Mohammed St, Abu Dhabi",,,https://pugold.com/,customercare@pugold.com,+971 52 795 2904,https://pugold.com/abu-dhabi-stores,prospect — not AURIX partner
Joyalukkas Deira Gold Centre Main,AE,Dubai,chain,"Gold Souq Main Shop, Gold Centre, Deira, Dubai",25.271314,55.297469,https://www.joyalukkas.com/,dxbmain@joyalukkas.com,+971 4 225 3646,https://stores.joyalukkas.com/ae/city/Dubai/gold-centre-main,prospect — not AURIX partner
Joyalukkas Madinat Zayed Abu Dhabi,AE,Abu Dhabi,chain,"Madinat Zayed Shopping Centre, Ground Floor, Opp. Lulu Hypermarket, Abu Dhabi",,,https://www.joyalukkas.com/,admadinatzayed@joyalukkas.com,+971 2 633 1377,https://stores.joyalukkas.com/ae/city/abu-dhabi/abudhabi-madinat-zayed,prospect — not AURIX partner
Joyalukkas Gold Souk Sharjah,AE,Sharjah,chain,"Gold Souk, Sharjah",,,https://www.joyalukkas.com/,,+971 6 574 5594,https://stores.joyalukkas.com/ae/city/Dubai/souk-street-1,prospect — not AURIX partner
Liali Jewellery The Dubai Mall,AE,Dubai,jewelry,"The District, The Dubai Mall, Dubai",,,https://www.lialijewellery.com/,dubaimall@lialijewellery.com,+971 50 286 4544,https://www.lialijewellery.com/pages/store-location,prospect — not AURIX partner
Liali Jewellery Forsan Central Mall,AE,Abu Dhabi,jewelry,"Central Forsan Mall, Ground Floor, Khalifa City Sector 33, Abu Dhabi",,,https://www.lialijewellery.com/,forsan@lialijewellery.com,+971 56 544 3714,https://www.lialijewellery.com/pages/store-location,prospect — not AURIX partner
Al Romaizan Dubai Gold Souk,AE,Dubai,chain,"Dubai Gold Souk, Al Daghaya, Shop No. 2, Dubai",,,https://alromaizan.com/,,+971 4 225 2600,https://alromaizan.com/stores/united-arab-emirates/dubai/dubai-gold-souq,prospect — not AURIX partner
Damas Main Entrance Gold Centre,AE,Dubai,chain,"Unit G001 & 001A, Ground Floor, Gold Centre Building, Deira (near main entrance), Dubai",,,,,+971 4 225 2707,https://www.damasjewellery.com/storelocator/,prospect — not AURIX partner
Damas Sharjah Old Gold Souk,AE,Sharjah,chain,"Central Souq / Old Gold Souk, Sharjah",,,,,+971 6 574 6356,https://www.damasjewellery.com/storelocator/,prospect — not AURIX partner
Dubai Gold Souk Deira,AE,Dubai,souk,"Gold Centre / Al Ras gold market district, Deira, Dubai",,,,,,"https://stores.joyalukkas.com/ae/city/Dubai/gold-centre-main",prospect — not AURIX partner; landmark Deira gold souk
Sharjah Gold Souq,AE,Sharjah,souk,"Sharjah Gold Souq / Central Souq gold district, Sharjah",,,,,,"https://goldworlduae.com/",prospect — not AURIX partner; Sharjah gold trading hub
Madinat Zayed Gold Center,AE,Abu Dhabi,souk,"Madinat Zayed Gold Center / Shopping Centre, Abu Dhabi",,,,,,"https://www.bestbullion.ae/",prospect — not AURIX partner; Abu Dhabi gold market cluster
Al Ansari Exchange Head Office,AE,Dubai,exchange,"Level 7, Al Ansari Business Center, Al Barsha 1, Beside Mall of the Emirates, Dubai PO Box 6176",,,https://alansariexchange.com/,info@alansari.ae,600 54 6000,https://alansariexchange.com/contact-us/,prospect — not AURIX partner
Alfardan Exchange Alfardan Center,QA,Doha,exchange,"Alfardan Center, Grand Hamad Street, Doha",,,https://www.alfardanexchange.com.qa/,cservice@alfardanexchange.com.qa,+974 4453 7777,https://www.alfardanexchange.com.qa/branch-locator/,prospect — not AURIX partner; also sells PAMP and Royal Mint gold bars/coins
Pure Gold Jewellers Doha City Centre,QA,Doha,chain,"Doha City Centre, Building 80, Street 615, Alebb Area, Doha",,,https://pugold.com/,customercare@pugold.com,+974 3111 7848,https://pugold.com/storelocator/index/view/id/38/,prospect — not AURIX partner
Pure Gold Jewellers Souk Waqif Gold Souk,QA,Doha,jewelry,"Shop No. 17, Souk Waqif Gold Souk, Doha",,,https://pugold.com/,pugold@pugold.com,+974 4477 5890,https://www.connect.com.qa/pure-gold-jewellers/3107,prospect — not AURIX partner
Velat Gold,QA,Doha,bullion,"Building No. 13, Street 810, Zone 6, Doha Gold Market, Doha",,,https://velatgold.com/,velatgoldqtr@gmail.com,+974 5510 9547,https://velatgold.com/,prospect — not AURIX partner
Al Sulaiman Jewellers,QA,Doha,bullion,"Doha Gold Souq / Souq Waqif Gold Souq area, Doha",,,https://alsulaimanjeweller.com/,,,https://alsulaimanjeweller.com/,prospect — not AURIX partner; gold bars and coins
Gold Souq Souq Waqif,QA,Doha,souk,"Gold Souq, Souq Waqif, Doha",,,https://souqwaqif.qa/,,,https://souqwaqif.qa/shopping/gold/,prospect — not AURIX partner; Doha landmark gold souk
Doha Exchange Souq Waqif Branch,QA,Doha,exchange,"Ground Floor, Shop No. 439, Building 20, Souq Waqif, Street 119, Doha",,,,,+974 7001 7784,https://buzdy.com/viewMerchant/doha-exchange-souq-waqif-branch-qatar,prospect — not AURIX partner
